date,tna_sst
1994-06,27.997545
1994-07,27.974894
1994-08,28.193884
1994-09,28.50947
1994-10,28.410976
1994-11,28.091204
1994-12,27.467697
1995-01,26.912584
1995-02,26.645788
1995-03,26.87404
1995-04,27.339342
1995-05,27.91727
1995-06,28.324215
1995-07,28.565273
1995-08,28.75108
1995-09,28.859335
1995-10,28.586798
1995-11,27.987053
1995-12,27.544874
1996-01,26.660519
1996-02,26.408438
1996-03,26.514017
1996-04,26.984617
1996-05,27.392569
1996-06,27.799833
1996-07,27.739365
1996-08,28.114998
1996-09,28.559584
1996-10,28.226086
1996-11,27.770168
1996-12,26.912056
1997-01,26.49243
1997-02,26.313885
1997-03,26.4078
1997-04,27.021442
1997-05,27.730764
1997-06,28.269943
1997-07,28.551226
1997-08,28.762232
1997-09,28.913673
1997-10,28.675297
1997-11,28.193363
1997-12,27.749208
1998-01,27.200289
1998-02,27.067976
1998-03,27.083244
1998-04,27.51127
1998-05,28.146225
1998-06,28.89385
1998-07,28.889397
1998-08,29.25525
1998-09,29.10718
1998-10,28.748283
1998-11,28.13051
1998-12,27.314417
1999-01,26.786709
1999-02,26.21907
1999-03,26.517757
1999-04,27.049307
1999-05,27.895716
1999-06,28.151453
1999-07,28.198162
1999-08,28.82178
1999-09,29.007038
1999-10,28.408754
1999-11,27.830679
1999-12,26.93936
2000-01,26.161192
2000-02,25.958706
2000-03,26.031494
2000-04,26.645216
2000-05,27.547436
2000-06,27.750826
2000-07,28.106815
2000-08,28.486311
2000-09,28.748045
2000-10,28.698795
2000-11,28.113924
2000-12,27.310486
2001-01,26.560703
2001-02,26.225777
2001-03,26.395319
2001-04,26.896107
2001-05,27.41396
2001-06,27.918524
2001-07,28.371326
2001-08,28.759151
2001-09,28.85389
2001-10,28.612556
2001-11,27.857021
2001-12,27.375013
2002-01,26.815104
2002-02,26.459408
2002-03,26.601181
2002-04,27.087044
2002-05,27.721453
2002-06,28.113926
2002-07,28.286316
2002-08,28.832504
2002-09,28.947908
2002-10,28.74063
2002-11,28.305159
2002-12,27.656235
2003-01,26.984798
2003-02,26.892708
2003-03,27.242336
2003-04,27.489128
2003-05,27.937899
2003-06,28.204554
2003-07,28.208416
2003-08,28.740782
2003-09,28.953308
2003-10,29.0082
2003-11,28.432138
2003-12,27.478794
2004-01,26.827885
2004-02,26.845364
2004-03,26.73297
2004-04,27.331854
2004-05,27.524313
2004-06,28.020638
2004-07,28.321009
2004-08,28.708815
2004-09,28.901842
2004-10,28.904022
2004-11,28.125372
2004-12,27.413874
2005-01,26.596205
2005-02,26.303436
2005-03,26.979479
2005-04,27.581785
2005-05,28.19099
2005-06,28.877155
2005-07,28.960354
2005-08,29.2148
2005-09,29.405247
2005-10,28.843367
2005-11,28.233517
2005-12,27.378588
2006-01,26.764725
2006-02,26.419094
2006-03,26.601336
2006-04,27.301535
2006-05,27.898098
2006-06,28.48557
2006-07,28.539196
2006-08,28.905582
2006-09,29.28125
2006-10,29.151611
2006-11,28.532713
2006-12,27.601643
2007-01,27.057325
2007-02,26.84324
2007-03,27.064001
2007-04,27.554504
2007-05,28.09374
2007-06,28.4365
2007-07,28.664335
2007-08,28.652168
2007-09,28.861275
2007-10,28.74869
2007-11,28.111132
2007-12,27.399427
2008-01,26.661688
2008-02,26.646881
2008-03,26.494839
2008-04,26.894196
2008-05,27.671247
2008-06,28.071692
2008-07,28.315735
2008-08,28.97857
2008-09,29.102987
2008-10,28.77906
2008-11,28.06283
2008-12,27.0306
2009-01,26.520975
2009-02,26.00531
2009-03,26.039278
2009-04,26.88
2009-05,27.520422
2009-06,28.232103
2009-07,28.71465
2009-08,28.841583
2009-09,29.193619
2009-10,29.0578
2009-11,28.503132
2009-12,27.91639
2010-01,27.075012
2010-02,27.196028
2010-03,27.314566
2010-04,27.80169
2010-05,28.336264
2010-06,28.683544
2010-07,28.949165
2010-08,29.144045
2010-09,29.069956
2010-10,28.822313
2010-11,28.047367
2010-12,27.008335
2011-01,26.550493
2011-02,26.5538
2011-03,26.539225
2011-04,27.340181
2011-05,27.86212
2011-06,28.440094
2011-07,28.682545
2011-08,29.000101
2011-09,29.14467
2011-10,28.751598
2011-11,28.303995
2011-12,27.473509
2012-01,26.768173
2012-02,26.567396
2012-03,26.61156
2012-04,27.29098
2012-05,27.96786
2012-06,28.57417
2012-07,28.625698
2012-08,28.885845
2012-09,29.106602
2012-10,28.999508
2012-11,28.330692
2012-12,27.67686
2013-01,27.028385
2013-02,26.816277
2013-03,26.725904
2013-04,27.236944
2013-05,27.731266
2013-06,27.955965
2013-07,28.252426
2013-08,28.746084
2013-09,29.105255
2013-10,29.120768
2013-11,28.561077
2013-12,27.784267
2014-01,27.154583
2014-02,26.959612
2014-03,27.244064
2014-04,27.533722
2014-05,27.97412
2014-06,28.40209
2014-07,28.626913
2014-08,28.966574
2014-09,28.902483
2014-10,29.015862
2014-11,28.483904
2014-12,27.83864
2015-01,27.270767
2015-02,27.06449
2015-03,27.107697
2015-04,27.631086
2015-05,28.19201
2015-06,28.364683
2015-07,28.65652
2015-08,29.135397
2015-09,29.62219
2015-10,29.504816
2015-11,28.99767
2015-12,28.295986
2016-01,27.864384
2016-02,27.301306
2016-03,27.365736
2016-04,27.869509
2016-05,28.597235
